num_repeat,rf,rfsut,rs,mr,ete_latency50,ete_latency_avg,ete_min,ete_1P,ete_5P,ete_10P,ete_90P,ete_95P,ete_99P,ete_max,ete_std,avg_first_step,avg_second_step,avg_third_step,med_first_step,med_second_step,med_third_step,throughput(MiB/s),throughput(ops)
0,3,10000,1024,1000,1518,6326,109,191.0,281.0,296.0,18323.600000000006,21038.0,26076.880000000005,34271,7551,219,66,6040,241,66,1221,0,994
0,3,10000,16384,1000,7049,365337,138,209.0,301.0,336.0,1790600.5999999996,2582192.599999999,3201814.0,3350241,820961,227,71,365039,251,72,6742,15,991
0,3,10000,262144,1000,526343,1577866,695,829.0,870.0,886.0,4658200.500000001,5178849.75,5600065.24,5704090,1869190,463,202,1577199,465,188,525690,75,302
0,3,10000,1024,2000,16856,1215815,87,101.0,106.0,109.0,4074520.6,4635940.999999999,5090979.32,5203325,1648674,57,22,1215735,55,20,16786,1,1973
0,3,10000,16384,2000,3603670,3635954,219881,280893.22,541765.3,870478.2000000001,6453859.8,6837289.899999999,7122234.28,7196356,2014005,66,25,3635862,61,22,3603580,30,1922
0,3,10000,262144,2000,887736,1774198,795,855.0,889.0,906.0,4998148.000000001,5512370.55,5932680.84,6039078,1994394,409,236,1773551,412,219,887156,75,302
0,3,10000,1024,3000,4393711,4481919,1747214,1790599.08,1962736.8,2245438.0,6917637.8,7254345.499999999,7524060.3,7597005,1692964,51,21,4481847,51,19,4393640,2,2471
0,3,10000,16384,3000,6216660,6270147,4238623,4277643.38,4423917.1,4613052.4,8016067.6,8239446.8,8417035.26,8465185,1226176,62,23,6270062,61,22,6216573,26,1689
0,3,10000,262144,3000,1155801,1891954,776,840.0,869.0,890.0,5152140.100000001,5685461.35,6122822.470000001,6228625,2047486,453,187,1891313,457,169,1138654,76,304
0,3,100000,1024,5000,10285612,10295769,9416880,9433045.57,9505464.3,9587367.7,11025818.4,11136103.05,11216960.1,11238320,511839,376,152,10295240,374,149,10285049,1,1103
0,3,100000,16384,5000,10995168,11006818,10312418,10326370.69,10382296.75,10452076.6,11573344.5,11651412.65,11704634.32,11732141,407853,70052,29,10936736,728,22,10994730,12,812
0,3,100000,262144,5000,12890121,12864491,12752068,12767765.23,12773632.1,12794423.4,12907874.8,12910504.5,12913020.03,12914869,45632,834091,49,12030350,861358,47,12031048,61,247
0,3,100000,1024,6000,10999595,11027046,10340545,10353860.33,10407297.3,10453349.6,11653182.4,11714346.0,11785027.02,11801896,425763,3555,131,11023359,379,137,10999084,1,1061
0,3,100000,16384,6000,11245790,11254739,10759404,10763191.62,10791827.8,10837882.5,11680978.8,11744733.05,11785218.25,11800079,304618,125222,24,11129491,1169,20,11231664,12,804
0,3,100000,262144,6000,12633715,12635643,12509280,12511915.04,12516931.9,12537247.5,12731443.6,12748109.0,12754936.0,12758771,72706,857455,52,11778135,857753,49,11776463,63,252
0,3,100000,1024,8000,11694317,11667270,11360552,11366032.3,11389818.9,11420312.2,11869449.2,11937157.2,11987537.27,12000094,168523,39446,119,11627703,390,131,11671011,1,1024
0,3,100000,16384,8000,11737293,11741257,11433645,11440551.48,11462169.75,11478721.8,12015095.8,12057304.5,12082542.6,12100334,190104,396274,15,11344967,402303,14,11335387,12,788
0,3,100000,262144,8000,12938937,12959746,12759981,12762593.31,12779333.85,12786584.5,13184144.5,13210420.0,13236458.79,13241654,146862,824979,51,12134714,821969,49,12117240,60,243
0,3,100000,1024,10000,11841987,11865582,11627965,11632592.21,11642349.7,11654403.4,12114880.0,12155900.6,12193104.58,12202931,168535,117232,103,11748246,574,78,11747545,1,1029
0,3,100000,16384,10000,12284369,12283589,12092795,12097004.12,12109819.6,12124694.6,12462179.5,12481008.0,12493791.04,12500383,118655,638400,13,11645175,643114,12,11640727,11,762
0,3,100000,262144,10000,12900642,12891878,12755003,12770465.86,12776229.0,12794753.5,12983698.5,12992364.05,13009745.46,13013422,71919,796350,48,12095479,802544,45,12099003,61,247
0,3,100000,1024,15000,12109707,12126598,12071539,12072958.66,12076360.3,12080060.3,12201079.8,12224498.75,12243197.47,12249415,47738,418060,54,11708483,425869,32,11678777,1,1025
0,3,100000,16384,15000,12226966,12229877,12200804,12205077.0,12213581.0,12215487.0,12248237.0,12251962.0,12254194.0,12256049,12375,1358776,14,10871086,1032969,14,11191027,12,774
0,3,100000,262144,15000,12798354,12840521,12653022,12656040.26,12678791.1,12685471.6,13054651.7,13092466.5,13116868.79,13121996,135437,878563,49,11961908,879027,47,11919564,61,245
0,3,100000,1024,16000,12592566,12623011,12495517,12499347.56,12508220.85,12518465.7,12787280.3,12832442.2,12851060.47,12853929,100878,414128,59,12208823,419915,36,12173399,0,974
0,3,100000,1024,17000,12579071,12614998,12534977,12538594.17,12544296.85,12549506.7,12733303.0,12760076.1,12785630.83,12787524,72566,468722,48,12146228,475621,28,12097347,0,983
0,3,100000,1024,18000,12297861,12304169,12265316,12267596.34,12272077.85,12276866.6,12346126.4,12350739.05,12354881.83,12358876,24922,487763,50,11816356,493193,31,11779658,0,1018
0,3,100000,16384,18000,12458020,12459917,12435585,12438043.73,12444052.7,12446623.6,12476076.1,12477509.45,12480699.48,12505220,11578,993192,14,11466710,1008776,12,11456103,11,765
0,3,100000,1024,20000,12292661,12279672,12185380,12187553.56,12193027.8,12197461.6,12346304.3,12367978.1,12376100.61,12379527,55199,590295,47,11689328,595554,34,11696575,0,1022
0,3,100000,1024,25000,12504277,12523672,12445712,12447706.95,12449829.9,12454063.9,12631768.2,12648133.1,12686866.83,12691706,67304,712811,54,11810806,718465,30,11785136,0,1008
0,3,100000,1024,28000,12491909,12470002,12313390,12315094.73,12318623.0,12321835.8,12623652.3,12642664.15,12669987.83,12675202,112454,822460,57,11647485,827531,33,11663672,0,1014
